GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
My Bank,com.example.bankcards.entity.enums,Role,3,15,0,0,1,3,1,1,1,1
My Bank,com.example.bankcards.entity.enums,TransferResult,0,15,0,0,0,3,0,1,0,1
My Bank,com.example.bankcards.entity.enums,Status,6,49,0,0,0,10,1,3,1,3
My Bank,com.example.bankcards.controller,AuthController,0,10,0,0,0,2,0,2,0,2
My Bank,com.example.bankcards.controller,UserController,0,11,0,0,0,2,0,2,0,2
My Bank,com.example.bankcards.controller,ExceptionController.ErrorResponse,12,0,0,0,1,0,1,0,1,0
My Bank,com.example.bankcards.controller,CardController,0,16,0,0,0,3,0,3,0,3
My Bank,com.example.bankcards.controller,UserCardController,0,21,0,0,0,4,0,4,0,4
My Bank,com.example.bankcards.controller,ExceptionController,47,3,0,0,10,1,4,1,4,1
My Bank,com.example.bankcards.config,WebConfig,0,6,0,0,0,3,0,2,0,2
My Bank,com.example.bankcards.entity.converter,YearMonthDateConverter,20,0,4,0,7,0,5,0,3,0
My Bank,com.example.bankcards.dto.user,UserResponse,0,3,0,0,0,1,0,1,0,1
My Bank,com.example.bankcards.entity,User,11,3,0,0,5,1,5,1,5,1
My Bank,com.example.bankcards.util,MaskingUtil,0,25,0,0,0,3,0,1,0,1
My Bank,com.example.bankcards.exception,UserAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
My Bank,com.example.bankcards.exception,UserNotFoundException,7,0,0,0,3,0,1,0,1,0
My Bank,com.example.bankcards.exception,CardNotFoundException,4,0,0,0,2,0,1,0,1,0
My Bank,com.example.bankcards.service,TransferServiceImpl,37,113,7,7,13,22,8,5,1,5
My Bank,com.example.bankcards.service,CardServiceImpl,0,137,0,0,0,32,0,7,0,7
My Bank,com.example.bankcards.service,AuthServiceImpl,0,62,0,0,0,18,0,2,0,2
My Bank,com.example.bankcards.service,UserServiceImpl,14,72,1,1,1,15,3,6,2,6
My Bank,com.example.bankcards,MyBank,5,3,0,0,2,1,1,1,1,1
My Bank,com.example.bankcards.dto.mapper,UserMapperImpl,3,54,4,4,2,16,4,3,0,3
My Bank,com.example.bankcards.dto.mapper,TransferMapperImpl,4,45,3,3,2,13,3,3,0,3
My Bank,com.example.bankcards.dto.mapper,CardMapperImpl,8,88,4,10,4,27,4,7,0,4
My Bank,com.example.bankcards.dto.mapper,UserMapper,0,8,0,0,0,3,0,1,0,1
My Bank,com.example.bankcards.repository.specification,UserSpecificationGenerator,21,19,2,2,1,6,4,2,2,2
My Bank,com.example.bankcards.repository.specification,CardSpecificationGenerator,16,29,2,4,0,8,4,3,2,2
My Bank,com.example.bankcards.security,SecurityConfig,30,106,0,0,7,17,2,6,2,6
My Bank,com.example.bankcards.security,JwtService,55,72,5,1,12,13,9,3,6,3
My Bank,com.example.bankcards.security,JwtAuthenticationFilter,92,0,16,0,22,0,9,0,1,0
